,source,target,type,username,fullname,post_id,likes,count_followed
0,9777455,,owner,zendaya,Zendaya,3479619557567052078,5186122,179891859.0
2,9777455,18433169,tagged,on,On,3479619557567052078,5186122,
5,9777455,13573374,tagged,nailglam,✨Dawn Sterling✨Beauty Expert,3576883314298507545,1950044,
6,9777455,13922175,tagged,luxurylaw,Law Roach,3576883314298507545,1950044,
7,9777455,187619120,tagged,louisvuitton,Louis Vuitton,3576883314298507545,1950044,
8,9777455,190219834,tagged,ursulastephen,Ursula Stephen,3576883314298507545,1950044,
9,9777455,259323621,tagged,takashipom,Takashi Murakami,3576883314298507545,1950044,
10,9777455,315012990,tagged,raoulalejandre,RAOUL,3576883314298507545,1950044,
12,6380930,,owner,kendalljenner,Kendall,3583198610436440263,1674749,288855695.0
13,6380930,19112939,tagged,fwrd,FWRD,3583198610436440263,1674749,
18,232192182,,owner,therock,Dwayne Johnson,3590655870709189209,30283,394765265.0
19,232192182,1443968141,tagged,disneyanimation,Walt Disney Animation Studios,3590655870709189209,30283,
23,12281817,,owner,kyliejenner,Kylie,3591079012832968917,1720478,394259383.0
25,12281817,144646783,tagged,krisjenner,Kris Jenner,3591083444559909243,1870459,
27,12281817,59793585159,tagged,khy,khy,3590488613819110878,393930,
31,379895100,,owner,natgeohistory,National Geographic History,3590580765052345501,19802,279242603.0
32,379895100,787132,tagged,natgeo,National Geographic,3590580765052345501,19802,
33,1550693326,,owner,narendramodi,Narendra Modi,3591539738905121619,2174924,92528395.0
35,460563723,,owner,selenagomez,Selena Gomez,3591086783106336704,1927735,421095224.0
37,460563723,243370769,tagged,itsbennyblanco,benny blanco,3588222746217540890,810809,
38,460563723,625357718,tagged,petrafcollins,Petra Collins,3588222746217540890,810809,
45,29394004,,owner,chrisbrownofficial,BROWN,3571925759730095334,453241,144444673.0
50,12331195,,owner,dualipa,DUA LIPA,3590571584350146413,642521,87313754.0
51,12331195,717441,tagged,nailsbymh,Michelle Humphrey 💅🏽,3590571584350146413,642521,
52,12331195,5391430,tagged,elizabethmiiiranda,Elizabeth Miranda,3590571584350146413,642521,
53,12331195,7455720,tagged,lorenzoposocco,Lorenzo Posocco,3590571584350146413,642521,
54,12331195,14060450,tagged,katiejanehughes,KATIE JANE HUGHES,3590571584350146413,642521,
55,12331195,54606387,tagged,peterluxhair,Peter Lux 🌱🧜🏾‍♂️🏄🏾‍♂️🙏🏽,3590571584350146413,642521,
56,305701719,,owner,jlo,Jennifer Lopez,3588322285733960091,572515,249007729.0
57,305701719,2261853621,tagged,donatella_versace,Donatella Versace,3588322285733960091,572515,
64,48360672906,,owner,jogueblaze,Blaze.bet.br,3586216356833204540,95553,229362117.0
65,48360672906,26669533,tagged,neymarjr,Neymar Jr,3586216356833204540,95553,
68,353578513,,owner,sportscenternext,SportsCenter NEXT,3583146208920839916,383363,159789968.0
69,353578513,1320207,tagged,espn,ESPN,3583146208920839916,383363,
70,353578513,19410587,tagged,kingjames,👑,3583146208920839916,383363,
71,353578513,505182045,tagged,sportscenter,SportsCenter,3583146208920839916,383363,
72,353578513,1316136710,tagged,nbaonespn,NBA on ESPN,3583146208920839916,383363,
73,353578513,7333815028,tagged,soleretriever,Sole Retriever,3583146208920839916,383363,
74,353578513,48500195037,tagged,_justbryce,BJ,3583146208920839916,383363,
76,208560325,,owner,khloekardashian,Khloé Kardashian,3591286502233501807,3,303852731.0
79,208560325,6511313934,tagged,robkardashianofficial,"Rob Kardashian, dream daddy",3590429956569520387,3,
82,208560325,9276365,tagged,ash_kholm,Ash K Holm,3591286502233501807,3,
83,208560325,11015181,tagged,danixmichelle,Dani Michelle,3591286502233501807,3,
84,208560325,16321310,tagged,justinemarjan,justine marjan,3591286502233501807,3,
85,208560325,1450108662,tagged,skj,SKJ — Sunkissed By Jenni,3591286502233501807,3,
86,8012033210,,owner,lalalalisa_m,LISA,3585964682236338039,2713870,105697380.0
91,8012033210,186628729,tagged,nicolasgerardin,Nicolas Gerardin,3585964682236338039,2636204,
92,8012033210,187619120,tagged,louisvuitton,Louis Vuitton,3585964682236338039,2636204,
93,8012033210,1236712784,tagged,nicolasghesquiere,,3585964682236338039,2636204,
94,427553890,,owner,leomessi,Leo Messi,3589949069831211758,3541955,504928548.0
99,325734299,,owner,mileycyrus,Miley Cyrus,3580309556125297196,640944,213134584.0
104,325734299,258473727,tagged,mmaxxm,MAXX MORANDO,3580309556125297196,640944,
105,6860189,,owner,justinbieber,Justin Bieber,3591182475416302466,1405482,294459095.0
108,6860189,6042489985,tagged,sekoumusic,SEKOU,3590479439576029521,451008,
110,178537482,,owner,priyankachopra,Priyanka,3591569430116301895,368151,92512060.0
112,178537482,145868886,tagged,priyanka.s.borkar,Priyanka Borkar,3591569430116301895,368151,
113,178537482,2662078189,tagged,beautysecrete_by_saisawant,Sai Sawant,3591569430116301895,368151,
114,178537482,3437652557,tagged,uday.shirali_makeup_artist,Uday Shirali,3591569430116301895,368151,
115,178537482,11132195602,tagged,khushboobajpai06,Khushboo Bajpai,3591569430116301895,368151,
116,178537482,50001203439,tagged,hairartbyganesh,HairbyGanesh,3591569430116301895,368151,
120,1269788896,,owner,championsleague,UEFA Champions League,3586987419476437326,483857,119582881.0
124,1269788896,232024162,tagged,psg,Paris Saint-Germain,3591864279209763869,48509,
126,1269788896,6643170,tagged,kaka,Kaká,3588155688162162466,542319,
127,1269788896,26669533,tagged,neymarjr,Neymar Jr,3588155688162162466,542319,
128,1269788896,26730967,tagged,rivaldo,Rivaldo Ferreira,3588155688162162466,542319,
129,1269788896,189429846,tagged,roberto_firmino,Roberto Firmino,3588155688162162466,542319,
130,1269788896,1689650950,tagged,raphinha,Raphinha,3588155688162162466,542319,
131,290023231,,owner,realmadrid,Real Madrid C.F.,3591851224253742573,273741,173139983.0
132,290023231,177031233,tagged,lukamodric10,Luka Modric,3591851224253742573,273741,
133,290023231,2610860662,tagged,rodrygogoes,Rodrygo Goes - RG 💜⚡️🇧🇷,3591851224253742573,273741,
135,290023231,43109246,tagged,bmw,BMW,3590478028493361600,250418,
136,290023231,1317663953,tagged,bmwespana,BMW España,3590478028493361600,250418,
137,290023231,1834475355,tagged,camavinga,Eduardo Celmi Camavinga,3590478028493361600,250418,
141,290023231,4207339302,tagged,fundacion.realmadrid,Fundación Real Madrid,3591762855519866449,278360,
